## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[../../stubdata/sortedbams_coord_bwa/SRR10141036.coordsort.bam] OUTPUT=../../stubdata/markdup_sortedbams_bwa/SRR10141036.markdup.bam METRICS_FILE=../../stubdata/markdup_sortedbams_bwa/SRR10141036.markdup_metrics.txt READ_NAME_REGEX=null    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Apr 11 04:01:02 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1392	2156539	13819	2062	402	232969	0	0.108087	9248692

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.792017
3.0	2.419308
4.0	2.916133
5.0	3.309627
6.0	3.621281
7.0	3.868117
8.0	4.063614
9.0	4.218452
10.0	4.341086
11.0	4.438214
12.0	4.515142
13.0	4.576069
14.0	4.624325
15.0	4.662544
16.0	4.692815
17.0	4.716789
18.0	4.735778
19.0	4.750817
20.0	4.762728
21.0	4.772162
22.0	4.779634
23.0	4.785552
24.0	4.790239
25.0	4.793951
26.0	4.796891
27.0	4.799219
28.0	4.801064
29.0	4.802524
30.0	4.803681
31.0	4.804598
32.0	4.805323
33.0	4.805898
34.0	4.806353
35.0	4.806714
36.0	4.807
37.0	4.807226
38.0	4.807405
39.0	4.807547
40.0	4.807659
41.0	4.807748
42.0	4.807819
43.0	4.807874
44.0	4.807919
45.0	4.807954
46.0	4.807981
47.0	4.808003
48.0	4.808021
49.0	4.808035
50.0	4.808045
51.0	4.808054
52.0	4.808061
53.0	4.808066
54.0	4.808071
55.0	4.808074
56.0	4.808077
57.0	4.808079
58.0	4.808081
59.0	4.808082
60.0	4.808083
61.0	4.808084
62.0	4.808085
63.0	4.808085
64.0	4.808085
65.0	4.808086
66.0	4.808086
67.0	4.808086
68.0	4.808086
69.0	4.808087
70.0	4.808087
71.0	4.808087
72.0	4.808087
73.0	4.808087
74.0	4.808087
75.0	4.808087
76.0	4.808087
77.0	4.808087
78.0	4.808087
79.0	4.808087
80.0	4.808087
81.0	4.808087
82.0	4.808087
83.0	4.808087
84.0	4.808087
85.0	4.808087
86.0	4.808087
87.0	4.808087
88.0	4.808087
89.0	4.808087
90.0	4.808087
91.0	4.808087
92.0	4.808087
93.0	4.808087
94.0	4.808087
95.0	4.808087
96.0	4.808087
97.0	4.808087
98.0	4.808087
99.0	4.808087
100.0	4.808087

