## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[../../stubdata/sortedbams_coord_bwa/SRR10141057.coordsort.bam] OUTPUT=../../stubdata/markdup_sortedbams_bwa/SRR10141057.markdup.bam METRICS_FILE=../../stubdata/markdup_sortedbams_bwa/SRR10141057.markdup_metrics.txt READ_NAME_REGEX=null    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Apr 11 04:56:06 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1170	1640842	9772	1658	589	448163	0	0.273212	2427473

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.508675
3.0	1.767424
4.0	1.899044
5.0	1.965996
6.0	2.000052
7.0	2.017376
8.0	2.026188
9.0	2.03067
10.0	2.032951
11.0	2.03411
12.0	2.0347
13.0	2.035001
14.0	2.035153
15.0	2.035231
16.0	2.03527
17.0	2.03529
18.0	2.035301
19.0	2.035306
20.0	2.035309
21.0	2.03531
22.0	2.035311
23.0	2.035311
24.0	2.035311
25.0	2.035311
26.0	2.035311
27.0	2.035311
28.0	2.035311
29.0	2.035311
30.0	2.035311
31.0	2.035311
32.0	2.035311
33.0	2.035311
34.0	2.035311
35.0	2.035311
36.0	2.035311
37.0	2.035311
38.0	2.035311
39.0	2.035311
40.0	2.035311
41.0	2.035311
42.0	2.035311
43.0	2.035311
44.0	2.035311
45.0	2.035311
46.0	2.035311
47.0	2.035311
48.0	2.035311
49.0	2.035311
50.0	2.035311
51.0	2.035311
52.0	2.035311
53.0	2.035311
54.0	2.035311
55.0	2.035311
56.0	2.035311
57.0	2.035311
58.0	2.035311
59.0	2.035311
60.0	2.035311
61.0	2.035311
62.0	2.035311
63.0	2.035311
64.0	2.035311
65.0	2.035311
66.0	2.035311
67.0	2.035311
68.0	2.035311
69.0	2.035311
70.0	2.035311
71.0	2.035311
72.0	2.035311
73.0	2.035311
74.0	2.035311
75.0	2.035311
76.0	2.035311
77.0	2.035311
78.0	2.035311
79.0	2.035311
80.0	2.035311
81.0	2.035311
82.0	2.035311
83.0	2.035311
84.0	2.035311
85.0	2.035311
86.0	2.035311
87.0	2.035311
88.0	2.035311
89.0	2.035311
90.0	2.035311
91.0	2.035311
92.0	2.035311
93.0	2.035311
94.0	2.035311
95.0	2.035311
96.0	2.035311
97.0	2.035311
98.0	2.035311
99.0	2.035311
100.0	2.035311

