## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[../../stubdata/sortedbams_coord_bwa/SRR10141058.coordsort.bam] OUTPUT=../../stubdata/markdup_sortedbams_bwa/SRR10141058.markdup.bam METRICS_FILE=../../stubdata/markdup_sortedbams_bwa/SRR10141058.markdup_metrics.txt READ_NAME_REGEX=null    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Apr 11 04:58:09 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	545	868853	1535	2831	232	198638	0	0.228683	1597958

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.58058
3.0	1.917654
4.0	2.113352
5.0	2.226971
6.0	2.292935
7.0	2.331233
8.0	2.353468
9.0	2.366377
10.0	2.373872
11.0	2.378224
12.0	2.38075
13.0	2.382217
14.0	2.383068
15.0	2.383562
16.0	2.38385
17.0	2.384016
18.0	2.384113
19.0	2.384169
20.0	2.384202
21.0	2.384221
22.0	2.384232
23.0	2.384238
24.0	2.384242
25.0	2.384244
26.0	2.384245
27.0	2.384246
28.0	2.384246
29.0	2.384247
30.0	2.384247
31.0	2.384247
32.0	2.384247
33.0	2.384247
34.0	2.384247
35.0	2.384247
36.0	2.384247
37.0	2.384247
38.0	2.384247
39.0	2.384247
40.0	2.384247
41.0	2.384247
42.0	2.384247
43.0	2.384247
44.0	2.384247
45.0	2.384247
46.0	2.384247
47.0	2.384247
48.0	2.384247
49.0	2.384247
50.0	2.384247
51.0	2.384247
52.0	2.384247
53.0	2.384247
54.0	2.384247
55.0	2.384247
56.0	2.384247
57.0	2.384247
58.0	2.384247
59.0	2.384247
60.0	2.384247
61.0	2.384247
62.0	2.384247
63.0	2.384247
64.0	2.384247
65.0	2.384247
66.0	2.384247
67.0	2.384247
68.0	2.384247
69.0	2.384247
70.0	2.384247
71.0	2.384247
72.0	2.384247
73.0	2.384247
74.0	2.384247
75.0	2.384247
76.0	2.384247
77.0	2.384247
78.0	2.384247
79.0	2.384247
80.0	2.384247
81.0	2.384247
82.0	2.384247
83.0	2.384247
84.0	2.384247
85.0	2.384247
86.0	2.384247
87.0	2.384247
88.0	2.384247
89.0	2.384247
90.0	2.384247
91.0	2.384247
92.0	2.384247
93.0	2.384247
94.0	2.384247
95.0	2.384247
96.0	2.384247
97.0	2.384247
98.0	2.384247
99.0	2.384247
100.0	2.384247

