## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[../../stubdata/sortedbams_coord_bwa/SRR10141065.coordsort.bam] OUTPUT=../../stubdata/markdup_sortedbams_bwa/SRR10141065.markdup.bam METRICS_FILE=../../stubdata/markdup_sortedbams_bwa/SRR10141065.markdup_metrics.txt READ_NAME_REGEX=null    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Apr 11 05:12:45 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	608	1002141	8198	856	175	79660	0	0.079553	5964910

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.845349
3.0	2.559963
4.0	3.164062
5.0	3.674735
6.0	4.106433
7.0	4.471368
8.0	4.779865
9.0	5.040653
10.0	5.261109
11.0	5.447472
12.0	5.605013
13.0	5.738191
14.0	5.850772
15.0	5.945943
16.0	6.026395
17.0	6.094405
18.0	6.151898
19.0	6.200499
20.0	6.241584
21.0	6.276315
22.0	6.305675
23.0	6.330494
24.0	6.351475
25.0	6.369211
26.0	6.384204
27.0	6.396879
28.0	6.407593
29.0	6.416651
30.0	6.424308
31.0	6.43078
32.0	6.436252
33.0	6.440877
34.0	6.444787
35.0	6.448093
36.0	6.450887
37.0	6.453249
38.0	6.455246
39.0	6.456934
40.0	6.45836
41.0	6.459567
42.0	6.460586
43.0	6.461448
44.0	6.462177
45.0	6.462793
46.0	6.463314
47.0	6.463754
48.0	6.464126
49.0	6.464441
50.0	6.464707
51.0	6.464931
52.0	6.465122
53.0	6.465282
54.0	6.465418
55.0	6.465533
56.0	6.46563
57.0	6.465712
58.0	6.465781
59.0	6.46584
60.0	6.465889
61.0	6.465931
62.0	6.465967
63.0	6.465997
64.0	6.466022
65.0	6.466043
66.0	6.466061
67.0	6.466077
68.0	6.46609
69.0	6.466101
70.0	6.46611
71.0	6.466118
72.0	6.466124
73.0	6.46613
74.0	6.466134
75.0	6.466138
76.0	6.466142
77.0	6.466145
78.0	6.466147
79.0	6.466149
80.0	6.466151
81.0	6.466152
82.0	6.466154
83.0	6.466155
84.0	6.466155
85.0	6.466156
86.0	6.466157
87.0	6.466157
88.0	6.466158
89.0	6.466158
90.0	6.466159
91.0	6.466159
92.0	6.466159
93.0	6.466159
94.0	6.466159
95.0	6.46616
96.0	6.46616
97.0	6.46616
98.0	6.46616
99.0	6.46616
100.0	6.46616

