## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[../../stubdata/sortedbams_coord_bwa/SRR10141113.coordsort.bam] OUTPUT=../../stubdata/markdup_sortedbams_bwa/SRR10141113.markdup.bam METRICS_FILE=../../stubdata/markdup_sortedbams_bwa/SRR10141113.markdup_metrics.txt READ_NAME_REGEX=null    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Apr 11 06:28:01 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	214	265689	328	592	195	233197	0	0.87772	32501

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	0.999995
2.0	1.000277
3.0	1.000277
4.0	1.000277
5.0	1.000277
6.0	1.000277
7.0	1.000277
8.0	1.000277
9.0	1.000277
10.0	1.000277
11.0	1.000277
12.0	1.000277
13.0	1.000277
14.0	1.000277
15.0	1.000277
16.0	1.000277
17.0	1.000277
18.0	1.000277
19.0	1.000277
20.0	1.000277
21.0	1.000277
22.0	1.000277
23.0	1.000277
24.0	1.000277
25.0	1.000277
26.0	1.000277
27.0	1.000277
28.0	1.000277
29.0	1.000277
30.0	1.000277
31.0	1.000277
32.0	1.000277
33.0	1.000277
34.0	1.000277
35.0	1.000277
36.0	1.000277
37.0	1.000277
38.0	1.000277
39.0	1.000277
40.0	1.000277
41.0	1.000277
42.0	1.000277
43.0	1.000277
44.0	1.000277
45.0	1.000277
46.0	1.000277
47.0	1.000277
48.0	1.000277
49.0	1.000277
50.0	1.000277
51.0	1.000277
52.0	1.000277
53.0	1.000277
54.0	1.000277
55.0	1.000277
56.0	1.000277
57.0	1.000277
58.0	1.000277
59.0	1.000277
60.0	1.000277
61.0	1.000277
62.0	1.000277
63.0	1.000277
64.0	1.000277
65.0	1.000277
66.0	1.000277
67.0	1.000277
68.0	1.000277
69.0	1.000277
70.0	1.000277
71.0	1.000277
72.0	1.000277
73.0	1.000277
74.0	1.000277
75.0	1.000277
76.0	1.000277
77.0	1.000277
78.0	1.000277
79.0	1.000277
80.0	1.000277
81.0	1.000277
82.0	1.000277
83.0	1.000277
84.0	1.000277
85.0	1.000277
86.0	1.000277
87.0	1.000277
88.0	1.000277
89.0	1.000277
90.0	1.000277
91.0	1.000277
92.0	1.000277
93.0	1.000277
94.0	1.000277
95.0	1.000277
96.0	1.000277
97.0	1.000277
98.0	1.000277
99.0	1.000277
100.0	1.000277

