## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[../../stubdata/sortedbams_coord_bwa/SRR10141041.coordsort.bam] OUTPUT=../../stubdata/markdup_sortedbams_bwa/SRR10141041.markdup.bam METRICS_FILE=../../stubdata/markdup_sortedbams_bwa/SRR10141041.markdup_metrics.txt READ_NAME_REGEX=null    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Apr 11 04:14:27 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	874	663034	897	1298	781	602251	0	0.908316	60784

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	0.999998
2.0	1.000016
3.0	1.000016
4.0	1.000016
5.0	1.000016
6.0	1.000016
7.0	1.000016
8.0	1.000016
9.0	1.000016
10.0	1.000016
11.0	1.000016
12.0	1.000016
13.0	1.000016
14.0	1.000016
15.0	1.000016
16.0	1.000016
17.0	1.000016
18.0	1.000016
19.0	1.000016
20.0	1.000016
21.0	1.000016
22.0	1.000016
23.0	1.000016
24.0	1.000016
25.0	1.000016
26.0	1.000016
27.0	1.000016
28.0	1.000016
29.0	1.000016
30.0	1.000016
31.0	1.000016
32.0	1.000016
33.0	1.000016
34.0	1.000016
35.0	1.000016
36.0	1.000016
37.0	1.000016
38.0	1.000016
39.0	1.000016
40.0	1.000016
41.0	1.000016
42.0	1.000016
43.0	1.000016
44.0	1.000016
45.0	1.000016
46.0	1.000016
47.0	1.000016
48.0	1.000016
49.0	1.000016
50.0	1.000016
51.0	1.000016
52.0	1.000016
53.0	1.000016
54.0	1.000016
55.0	1.000016
56.0	1.000016
57.0	1.000016
58.0	1.000016
59.0	1.000016
60.0	1.000016
61.0	1.000016
62.0	1.000016
63.0	1.000016
64.0	1.000016
65.0	1.000016
66.0	1.000016
67.0	1.000016
68.0	1.000016
69.0	1.000016
70.0	1.000016
71.0	1.000016
72.0	1.000016
73.0	1.000016
74.0	1.000016
75.0	1.000016
76.0	1.000016
77.0	1.000016
78.0	1.000016
79.0	1.000016
80.0	1.000016
81.0	1.000016
82.0	1.000016
83.0	1.000016
84.0	1.000016
85.0	1.000016
86.0	1.000016
87.0	1.000016
88.0	1.000016
89.0	1.000016
90.0	1.000016
91.0	1.000016
92.0	1.000016
93.0	1.000016
94.0	1.000016
95.0	1.000016
96.0	1.000016
97.0	1.000016
98.0	1.000016
99.0	1.000016
100.0	1.000016

