## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[../../stubdata/sortedbams_coord_bwa/SRR10141068.coordsort.bam] OUTPUT=../../stubdata/markdup_sortedbams_bwa/SRR10141068.markdup.bam METRICS_FILE=../../stubdata/markdup_sortedbams_bwa/SRR10141068.markdup_metrics.txt READ_NAME_REGEX=null    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Apr 11 05:18:50 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1044	1240376	12679	1542	295	89372	0	0.072141	8188840

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.859442
3.0	2.598084
4.0	3.232903
5.0	3.778494
6.0	4.247398
7.0	4.650393
8.0	4.996745
9.0	5.294414
10.0	5.550244
11.0	5.770115
12.0	5.959081
13.0	6.121487
14.0	6.261065
15.0	6.381025
16.0	6.484123
17.0	6.57273
18.0	6.648882
19.0	6.714331
20.0	6.770581
21.0	6.818924
22.0	6.860472
23.0	6.89618
24.0	6.92687
25.0	6.953245
26.0	6.975913
27.0	6.995396
28.0	7.012139
29.0	7.02653
30.0	7.038897
31.0	7.049526
32.0	7.058662
33.0	7.066513
34.0	7.07326
35.0	7.07906
36.0	7.084044
37.0	7.088327
38.0	7.092009
39.0	7.095173
40.0	7.097892
41.0	7.100229
42.0	7.102238
43.0	7.103964
44.0	7.105448
45.0	7.106723
46.0	7.107819
47.0	7.10876
48.0	7.10957
49.0	7.110265
50.0	7.110863
51.0	7.111377
52.0	7.111819
53.0	7.112198
54.0	7.112525
55.0	7.112805
56.0	7.113046
57.0	7.113253
58.0	7.113431
59.0	7.113584
60.0	7.113715
61.0	7.113828
62.0	7.113925
63.0	7.114009
64.0	7.114081
65.0	7.114142
66.0	7.114195
67.0	7.114241
68.0	7.11428
69.0	7.114314
70.0	7.114342
71.0	7.114367
72.0	7.114389
73.0	7.114407
74.0	7.114423
75.0	7.114436
76.0	7.114448
77.0	7.114458
78.0	7.114467
79.0	7.114474
80.0	7.11448
81.0	7.114486
82.0	7.11449
83.0	7.114494
84.0	7.114498
85.0	7.114501
86.0	7.114503
87.0	7.114506
88.0	7.114508
89.0	7.114509
90.0	7.114511
91.0	7.114512
92.0	7.114513
93.0	7.114514
94.0	7.114514
95.0	7.114515
96.0	7.114516
97.0	7.114516
98.0	7.114517
99.0	7.114517
100.0	7.114517

