## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[../../stubdata/sortedbams_coord_bwa/SRR10141054.coordsort.bam] OUTPUT=../../stubdata/markdup_sortedbams_bwa/SRR10141054.markdup.bam METRICS_FILE=../../stubdata/markdup_sortedbams_bwa/SRR10141054.markdup_metrics.txt READ_NAME_REGEX=null    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Apr 11 04:46:01 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	3424	5497039	32172	5276	1932	1426517	0	0.259601	8666414

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.530311
3.0	1.81154
4.0	1.960679
5.0	2.039769
6.0	2.081711
7.0	2.103954
8.0	2.115749
9.0	2.122004
10.0	2.125322
11.0	2.127081
12.0	2.128014
13.0	2.128508
14.0	2.128771
15.0	2.12891
16.0	2.128984
17.0	2.129023
18.0	2.129044
19.0	2.129055
20.0	2.12906
21.0	2.129063
22.0	2.129065
23.0	2.129066
24.0	2.129066
25.0	2.129067
26.0	2.129067
27.0	2.129067
28.0	2.129067
29.0	2.129067
30.0	2.129067
31.0	2.129067
32.0	2.129067
33.0	2.129067
34.0	2.129067
35.0	2.129067
36.0	2.129067
37.0	2.129067
38.0	2.129067
39.0	2.129067
40.0	2.129067
41.0	2.129067
42.0	2.129067
43.0	2.129067
44.0	2.129067
45.0	2.129067
46.0	2.129067
47.0	2.129067
48.0	2.129067
49.0	2.129067
50.0	2.129067
51.0	2.129067
52.0	2.129067
53.0	2.129067
54.0	2.129067
55.0	2.129067
56.0	2.129067
57.0	2.129067
58.0	2.129067
59.0	2.129067
60.0	2.129067
61.0	2.129067
62.0	2.129067
63.0	2.129067
64.0	2.129067
65.0	2.129067
66.0	2.129067
67.0	2.129067
68.0	2.129067
69.0	2.129067
70.0	2.129067
71.0	2.129067
72.0	2.129067
73.0	2.129067
74.0	2.129067
75.0	2.129067
76.0	2.129067
77.0	2.129067
78.0	2.129067
79.0	2.129067
80.0	2.129067
81.0	2.129067
82.0	2.129067
83.0	2.129067
84.0	2.129067
85.0	2.129067
86.0	2.129067
87.0	2.129067
88.0	2.129067
89.0	2.129067
90.0	2.129067
91.0	2.129067
92.0	2.129067
93.0	2.129067
94.0	2.129067
95.0	2.129067
96.0	2.129067
97.0	2.129067
98.0	2.129067
99.0	2.129067
100.0	2.129067

