## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[../../stubdata/sortedbams_coord_bwa/SRR10141045.coordsort.bam] OUTPUT=../../stubdata/markdup_sortedbams_bwa/SRR10141045.markdup.bam METRICS_FILE=../../stubdata/markdup_sortedbams_bwa/SRR10141045.markdup_metrics.txt READ_NAME_REGEX=null    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Apr 11 04:22:56 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	305	1529799	1938	489	104	208485	0	0.136303	5090155

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.740418
3.0	2.288636
4.0	2.694547
5.0	2.99509
6.0	3.217618
7.0	3.382381
8.0	3.504375
9.0	3.594701
10.0	3.661581
11.0	3.711099
12.0	3.747764
13.0	3.774911
14.0	3.795011
15.0	3.809893
16.0	3.820913
17.0	3.829071
18.0	3.835112
19.0	3.839585
20.0	3.842897
21.0	3.845349
22.0	3.847165
23.0	3.848509
24.0	3.849504
25.0	3.850241
26.0	3.850787
27.0	3.851191
28.0	3.85149
29.0	3.851711
30.0	3.851875
31.0	3.851997
32.0	3.852087
33.0	3.852153
34.0	3.852203
35.0	3.852239
36.0	3.852266
37.0	3.852286
38.0	3.852301
39.0	3.852312
40.0	3.85232
41.0	3.852326
42.0	3.85233
43.0	3.852334
44.0	3.852336
45.0	3.852338
46.0	3.852339
47.0	3.85234
48.0	3.852341
49.0	3.852342
50.0	3.852342
51.0	3.852342
52.0	3.852343
53.0	3.852343
54.0	3.852343
55.0	3.852343
56.0	3.852343
57.0	3.852343
58.0	3.852343
59.0	3.852343
60.0	3.852343
61.0	3.852343
62.0	3.852343
63.0	3.852343
64.0	3.852343
65.0	3.852343
66.0	3.852343
67.0	3.852343
68.0	3.852343
69.0	3.852343
70.0	3.852343
71.0	3.852343
72.0	3.852343
73.0	3.852343
74.0	3.852343
75.0	3.852343
76.0	3.852343
77.0	3.852343
78.0	3.852343
79.0	3.852343
80.0	3.852343
81.0	3.852343
82.0	3.852343
83.0	3.852343
84.0	3.852343
85.0	3.852343
86.0	3.852343
87.0	3.852343
88.0	3.852343
89.0	3.852343
90.0	3.852343
91.0	3.852343
92.0	3.852343
93.0	3.852343
94.0	3.852343
95.0	3.852343
96.0	3.852343
97.0	3.852343
98.0	3.852343
99.0	3.852343
100.0	3.852343

