## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[../../stubdata/sortedbams_coord_bwa/SRR10141030.coordsort.bam] OUTPUT=../../stubdata/markdup_sortedbams_bwa/SRR10141030.markdup.bam METRICS_FILE=../../stubdata/markdup_sortedbams_bwa/SRR10141030.markdup_metrics.txt READ_NAME_REGEX=null    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Apr 11 03:48:04 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	805	399143	325	1161	729	357632	0	0.896009	41513

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	0.999981
2.0	1.000048
3.0	1.000048
4.0	1.000048
5.0	1.000048
6.0	1.000048
7.0	1.000048
8.0	1.000048
9.0	1.000048
10.0	1.000048
11.0	1.000048
12.0	1.000048
13.0	1.000048
14.0	1.000048
15.0	1.000048
16.0	1.000048
17.0	1.000048
18.0	1.000048
19.0	1.000048
20.0	1.000048
21.0	1.000048
22.0	1.000048
23.0	1.000048
24.0	1.000048
25.0	1.000048
26.0	1.000048
27.0	1.000048
28.0	1.000048
29.0	1.000048
30.0	1.000048
31.0	1.000048
32.0	1.000048
33.0	1.000048
34.0	1.000048
35.0	1.000048
36.0	1.000048
37.0	1.000048
38.0	1.000048
39.0	1.000048
40.0	1.000048
41.0	1.000048
42.0	1.000048
43.0	1.000048
44.0	1.000048
45.0	1.000048
46.0	1.000048
47.0	1.000048
48.0	1.000048
49.0	1.000048
50.0	1.000048
51.0	1.000048
52.0	1.000048
53.0	1.000048
54.0	1.000048
55.0	1.000048
56.0	1.000048
57.0	1.000048
58.0	1.000048
59.0	1.000048
60.0	1.000048
61.0	1.000048
62.0	1.000048
63.0	1.000048
64.0	1.000048
65.0	1.000048
66.0	1.000048
67.0	1.000048
68.0	1.000048
69.0	1.000048
70.0	1.000048
71.0	1.000048
72.0	1.000048
73.0	1.000048
74.0	1.000048
75.0	1.000048
76.0	1.000048
77.0	1.000048
78.0	1.000048
79.0	1.000048
80.0	1.000048
81.0	1.000048
82.0	1.000048
83.0	1.000048
84.0	1.000048
85.0	1.000048
86.0	1.000048
87.0	1.000048
88.0	1.000048
89.0	1.000048
90.0	1.000048
91.0	1.000048
92.0	1.000048
93.0	1.000048
94.0	1.000048
95.0	1.000048
96.0	1.000048
97.0	1.000048
98.0	1.000048
99.0	1.000048
100.0	1.000048

