## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[../../stubdata/sortedbams_coord_bwa/SRR10141055.coordsort.bam] OUTPUT=../../stubdata/markdup_sortedbams_bwa/SRR10141055.markdup.bam METRICS_FILE=../../stubdata/markdup_sortedbams_bwa/SRR10141055.markdup_metrics.txt READ_NAME_REGEX=null    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Apr 11 04:51:43 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1078	1391467	8411	1468	502	317205	0	0.228056	2567958

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.581667
3.0	1.920003
4.0	2.116802
5.0	2.231274
6.0	2.297858
7.0	2.336588
8.0	2.359116
9.0	2.372219
10.0	2.379841
11.0	2.384275
12.0	2.386854
13.0	2.388354
14.0	2.389226
15.0	2.389734
16.0	2.390029
17.0	2.3902
18.0	2.3903
19.0	2.390358
20.0	2.390392
21.0	2.390412
22.0	2.390423
23.0	2.39043
24.0	2.390434
25.0	2.390436
26.0	2.390437
27.0	2.390438
28.0	2.390439
29.0	2.390439
30.0	2.390439
31.0	2.390439
32.0	2.390439
33.0	2.390439
34.0	2.390439
35.0	2.390439
36.0	2.390439
37.0	2.390439
38.0	2.390439
39.0	2.390439
40.0	2.390439
41.0	2.390439
42.0	2.390439
43.0	2.390439
44.0	2.390439
45.0	2.390439
46.0	2.390439
47.0	2.390439
48.0	2.390439
49.0	2.390439
50.0	2.390439
51.0	2.390439
52.0	2.390439
53.0	2.390439
54.0	2.390439
55.0	2.390439
56.0	2.390439
57.0	2.390439
58.0	2.390439
59.0	2.390439
60.0	2.390439
61.0	2.390439
62.0	2.390439
63.0	2.390439
64.0	2.390439
65.0	2.390439
66.0	2.390439
67.0	2.390439
68.0	2.390439
69.0	2.390439
70.0	2.390439
71.0	2.390439
72.0	2.390439
73.0	2.390439
74.0	2.390439
75.0	2.390439
76.0	2.390439
77.0	2.390439
78.0	2.390439
79.0	2.390439
80.0	2.390439
81.0	2.390439
82.0	2.390439
83.0	2.390439
84.0	2.390439
85.0	2.390439
86.0	2.390439
87.0	2.390439
88.0	2.390439
89.0	2.390439
90.0	2.390439
91.0	2.390439
92.0	2.390439
93.0	2.390439
94.0	2.390439
95.0	2.390439
96.0	2.390439
97.0	2.390439
98.0	2.390439
99.0	2.390439
100.0	2.390439

