## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[../../stubdata/sortedbams_coord_bwa/SRR10141067.coordsort.bam] OUTPUT=../../stubdata/markdup_sortedbams_bwa/SRR10141067.markdup.bam METRICS_FILE=../../stubdata/markdup_sortedbams_bwa/SRR10141067.markdup_metrics.txt READ_NAME_REGEX=null    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Apr 11 05:17:00 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	868	894321	4226	906	339	65566	0	0.073468	5797375

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.857047
3.0	2.591575
4.0	3.2211
5.0	3.760633
6.0	4.223037
7.0	4.619339
8.0	4.958989
9.0	5.250084
10.0	5.499566
11.0	5.713384
12.0	5.896636
13.0	6.053691
14.0	6.188295
15.0	6.303656
16.0	6.402527
17.0	6.487263
18.0	6.559886
19.0	6.622128
20.0	6.675471
21.0	6.721189
22.0	6.760372
23.0	6.793953
24.0	6.822734
25.0	6.8474
26.0	6.86854
27.0	6.886659
28.0	6.902187
29.0	6.915495
30.0	6.926901
31.0	6.936676
32.0	6.945054
33.0	6.952234
34.0	6.958388
35.0	6.963662
36.0	6.968182
37.0	6.972056
38.0	6.975377
39.0	6.978222
40.0	6.980661
41.0	6.982751
42.0	6.984542
43.0	6.986078
44.0	6.987394
45.0	6.988521
46.0	6.989488
47.0	6.990316
48.0	6.991026
49.0	6.991634
50.0	6.992156
51.0	6.992603
52.0	6.992986
53.0	6.993314
54.0	6.993595
55.0	6.993836
56.0	6.994043
57.0	6.99422
58.0	6.994372
59.0	6.994502
60.0	6.994614
61.0	6.994709
62.0	6.994791
63.0	6.994861
64.0	6.994921
65.0	6.994973
66.0	6.995017
67.0	6.995055
68.0	6.995087
69.0	6.995115
70.0	6.995139
71.0	6.99516
72.0	6.995177
73.0	6.995192
74.0	6.995205
75.0	6.995216
76.0	6.995225
77.0	6.995234
78.0	6.99524
79.0	6.995246
80.0	6.995252
81.0	6.995256
82.0	6.99526
83.0	6.995263
84.0	6.995266
85.0	6.995268
86.0	6.99527
87.0	6.995272
88.0	6.995273
89.0	6.995274
90.0	6.995276
91.0	6.995276
92.0	6.995277
93.0	6.995278
94.0	6.995279
95.0	6.995279
96.0	6.995279
97.0	6.99528
98.0	6.99528
99.0	6.99528
100.0	6.995281

