Module	Section	Sample Name	Source
FastQC	all_sections	SRR10141068_2	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141068_2_fastqc.zip
FastQC	all_sections	SRR10141097_1	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141097_1_fastqc.zip
FastQC	all_sections	SRR10141092_1	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141092_1_fastqc.zip
FastQC	all_sections	SRR10141023_2	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141023_2_fastqc.zip
FastQC	all_sections	SRR10141044_1	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141044_1_fastqc.zip
FastQC	all_sections	SRR10141040_1	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141040_1_fastqc.zip
FastQC	all_sections	SRR10141110_2	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141110_2_fastqc.zip
FastQC	all_sections	SRR10141101_2	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141101_2_fastqc.zip
FastQC	all_sections	SRR10141091_1	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141091_1_fastqc.zip
FastQC	all_sections	SRR10141056_1	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141056_1_fastqc.zip
FastQC	all_sections	SRR10141027_2	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141027_2_fastqc.zip
FastQC	all_sections	SRR10141038_1	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141038_1_fastqc.zip
FastQC	all_sections	SRR10141072_2	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141072_2_fastqc.zip
FastQC	all_sections	SRR10141061_2	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141061_2_fastqc.zip
FastQC	all_sections	SRR10141060_1	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141060_1_fastqc.zip
FastQC	all_sections	SRR10141021_1	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141021_1_fastqc.zip
FastQC	all_sections	SRR10141055_2	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141055_2_fastqc.zip
FastQC	all_sections	SRR10141028_2	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141028_2_fastqc.zip
FastQC	all_sections	SRR10141067_1	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141067_1_fastqc.zip
FastQC	all_sections	SRR10141052_2	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141052_2_fastqc.zip
FastQC	all_sections	SRR10141086_1	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141086_1_fastqc.zip
FastQC	all_sections	SRR10141097_2	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141097_2_fastqc.zip
FastQC	all_sections	SRR10141067_2	/srv/data/my_shared_data_folder/gnbs_explore/data_99/fastqc_reports/SRR10141067_2_fastqc.zip
